Date,High,Low,Open,Close,Volume
2018-06-26,47300,45900,45900,47000,11223166
2018-06-27,48500,47000,47450,47950,15274752
2018-06-28,47150,46600,46850,46800,12784800
2018-06-29,47150,46200,46250,46650,14099635
2018-07-02,47150,45500,46500,45550,13112253
2018-07-03,46450,45750,45750,46150,10959655
2018-07-04,47050,46050,46700,46250,8776763
2018-07-05,46550,45600,46100,45950,7039773
2018-07-06,45850,44650,45500,44900,17843706
2018-07-09,46100,45200,45500,45600,11602464
2018-07-10,46550,46100,46200,46300,10528665
2018-07-11,46450,45400,46400,46000,11224077
2018-07-12,46250,45450,45900,45500,11828104
2018-07-13,46500,45750,45800,46500,11543389
2018-07-16,46800,46000,46800,46050,7678719
2018-07-17,46200,45600,46150,45850,8892953
2018-07-18,47200,46450,46700,46550,10952645
2018-07-19,47200,46600,47050,46900,9880128
2018-07-20,47600,46700,47000,47450,10474547
2018-07-23,47200,46150,47100,46500,10823782
2018-07-24,46600,45950,46350,46150,8261363
2018-07-25,46550,45900,46250,46150,7222471
2018-07-26,47000,46000,46100,46900,7374946
2018-07-27,47000,46450,46450,46900,4762460
2018-07-30,46800,46350,46550,46500,5723035
2018-07-31,46450,46000,46200,46250,8033607
2018-08-01,46850,46050,46050,46550,7484499
2018-08-02,46800,45500,46550,45550,8560924
2018-08-03,45900,45450,45850,45750,8274944
2018-08-06,46150,45750,46150,45800,6771979
2018-08-07,46750,45900,46300,46700,9058174
2018-08-08,47000,46550,47000,46800,6429338
2018-08-09,47050,46450,47000,46900,12010886
2018-08-10,46400,44850,46150,45400,16670643
2018-08-13,45100,44650,44950,45050,9803831
2018-08-14,45400,44850,44850,45150,6409259
2018-08-16,44650,43700,43800,44250,10088229
2018-08-17,44400,44050,44050,44100,6808747
2018-08-20,44200,43500,43500,43850,7289124
2018-08-21,44900,43700,43700,44800,9520270
2018-08-22,46200,44900,45150,46100,11641656
2018-08-23,46200,45700,46150,46200,6730918
2018-08-24,46400,45550,45900,46150,6582535
2018-08-27,46550,46000,46100,46300,5263782
2018-08-28,46950,46300,46800,46550,7365976
2018-08-29,46800,46400,46750,46800,5572374
2018-08-30,47950,46700,46950,47650,12193231
2018-08-31,48450,47000,47100,48450,13577454
2018-09-03,48300,47300,48200,47450,8595084
2018-09-04,47800,47200,47550,47650,6791255
2018-09-05,47450,46400,47300,46600,9139998
2018-09-06,46400,45800,46200,46100,9040553
2018-09-07,45200,44400,44500,44900,18285508
2018-09-10,45550,45000,45450,45500,9979838
2018-09-11,45900,45050,45550,45050,9865790
2018-09-12,45100,44500,44900,44550,12995269
2018-09-13,44750,44000,44550,44050,18277942
2018-09-14,45850,44900,45000,45850,12446344
2018-09-17,45800,44900,45550,45150,8123384
2018-09-18,45900,44700,44950,45500,9987090
2018-09-19,46200,45700,46000,46150,9367454
2018-09-20,47600,46400,46850,47250,13536966
2018-09-21,47550,46550,46550,47400,14476906
2018-09-27,47500,46450,46950,47500,15804586
2018-09-28,47250,46300,47250,46450,11270515
2018-10-01,46800,45800,46450,46350,6354983
2018-10-02,46700,45700,46450,45700,6607188
2018-10-04,45600,44700,45150,44700,11865327
2018-10-05,45500,44550,44800,44700,10544165
2018-10-08,45200,44200,44200,44950,6759464
2018-10-10,45500,44500,45250,45300,10341349
2018-10-11,44650,43100,44000,43100,19324537
2018-10-12,44650,43200,43200,44000,12640906
2018-10-15,44050,43350,44050,43800,7434522
2018-10-16,44150,43350,43700,43600,6825677
2018-10-17,44500,44000,44150,44150,8306193
2018-10-18,44450,43700,43950,44050,8347725
2018-10-19,44150,43450,43900,43900,7842520
2018-10-22,43950,43200,43450,43550,8357648
2018-10-23,43450,42550,43300,43050,9531231
2018-10-24,43100,42250,43050,42550,13522825
2018-10-25,41550,40550,40600,41000,19338170
2018-10-26,41300,40400,41100,41000,14413864
2018-10-29,41950,40550,40850,41400,14460521
2018-10-30,43000,41000,41400,42350,14205190
2018-10-31,43350,41700,42900,42400,17621480
2018-11-01,42950,42150,42450,42150,13423132
2018-11-02,44250,42800,43050,44150,16517112
2018-11-05,43800,42900,43750,43800,9426777
2018-11-06,43800,42950,43750,43750,7713625
2018-11-07,44500,43400,43600,44000,11553998
2018-11-08,45050,44050,44900,44050,12617397
2018-11-09,44850,43900,44450,44300,7318500
2018-11-12,45250,43700,43850,45200,8552566
2018-11-13,44500,43400,43900,44500,9311126
2018-11-14,44500,43800,44500,44100,6783344
2018-11-15,44350,43500,44050,44250,5864067
2018-11-16,44750,43700,44600,44000,7777124
2018-11-19,44250,43450,44050,43650,7538720
2018-11-20,43000,42100,42450,42800,9420664
2018-11-21,42300,41800,41800,42100,10769589
2018-11-22,42650,42000,42000,42450,5970796
2018-11-23,42600,41900,42450,42400,5192638
2018-11-26,42800,42100,42150,42600,6613009
2018-11-27,43100,42500,42900,43050,8367091
2018-11-28,43200,42750,42800,43150,6943099
2018-11-29,43850,42900,43850,43150,8473511
2018-11-30,44000,41750,43450,41850,19775519
2018-12-03,43400,42400,42750,43250,12110702
2018-12-04,42900,41900,42650,42150,14347746
2018-12-05,41750,40850,40900,41450,12631983
2018-12-06,41100,40450,40600,40500,14251826
2018-12-07,41400,40850,40900,40950,11433083
2018-12-10,40650,40000,40450,40200,14892263
2018-12-11,40700,40200,40600,40250,10638766
2018-12-12,40700,40150,40250,40450,12024279
2018-12-13,40750,40000,40650,40000,26254646
2018-12-14,40200,38700,40200,38950,19671783
2018-12-17,39600,38650,38650,39150,11532968
2018-12-18,39200,38300,38300,38900,11042101
2018-12-19,39350,38850,38900,39100,9942037
2018-12-20,39100,38500,38600,38650,11937617
2018-12-21,38650,38100,38200,38450,6049825
